測試類型,測試步驟,預期結果
通用流程驗證,點擊導流操作按鈕（建立/預覽/編輯/複製）,出現 Message Box：「將以開新視窗方式，帶您前往 STUDIO」
通用流程驗證,點擊提示視窗【是】,開啟新視窗導向 /studio/redirect
通用流程驗證,API 正常回傳,STUDIO 成功顯示對應畫面（新增 / 預覽 / 編輯 / 複製）
通用流程驗證,模擬 API 錯誤,顯示錯誤訊息「取得 STUDIO 連結失敗」
素材管理導流,點擊「前往 Studio 建立素材」,跳轉至 Studio 建立畫面
素材管理導流,於『新增素材包』中選擇 STUDIO 格式,出現提示，抽屜收合，正常跳轉
素材管理導流,點擊「預覽」,跳轉至 Studio 素材預覽畫面
素材管理導流,點擊「編輯」,跳轉至 Studio 素材編輯畫面
素材管理導流,點擊「複製」,跳轉至 Studio 素材複製畫面
廣告組合導流,選擇 Studio 格式素材,『新增素材包』按鈕 disabled
廣告組合導流,Hover『新增素材包』,顯示 tooltip：需至 STUDIO 建立
廣告組合導流,Studio 素材未建立,指定素材包下拉無資料
廣告組合導流,Studio 建立後回來刷新,下拉出現新素材包
廣告組合導流,選擇素材包後儲存,廣告組合成功建立
追蹤碼驗證,檢查是否有追蹤碼欄位,欄位應出現在組合頁設定區
追蹤碼驗證,輸入追蹤碼並儲存,後台收到正確追蹤碼
追蹤碼驗證,輸入錯誤格式,出現格式錯誤提示
追蹤碼驗證,不填寫追蹤碼,出現驗證提示：請設定追蹤碼
錯誤處理,API token 錯誤,顯示錯誤提示框
錯誤處理,模擬 STUDIO 無回應,新視窗失敗，SuperDSP 不當掉
錯誤處理,使用者選擇取消,無跳轉，停留原畫面
